Study	Link:	Publication Year:	Species:	Temperature:	Brain Location (In situ vs ex situ vs other):	Initial preservation:	General microscopy method:	Immunostaining primarily:	Visualization method specifics:	Brain Region:	Cell Type:	Time Point:	Structural Feature:	Additional outcome specifier, if any:	Decomposition outcome:	Pilot Round?	Pilot Grade:	Decomposition Grade - Grader 1:	Decomposition Grade - Grader 2:	Random choice for multiple grades from grader 2:	Decomposition Grade - Grader 3:	Consensus grade:
Hetzel 1980	https://pubmed.ncbi.nlm.nih.gov/7435137/	1980	Rat, rabbit	Room temperature	Not recorded	Immersion fixation	Electron microscopy	No	Visualized with scanning electron microscopy and transmission electron microscopy	Ependymal layer of the lateral ventricular wall	Ependymal cell	1 hour	General cell membrane		"A great number of cells are now arched like blisters into the ventricular cavity. Many of the tufts of cilia have changed considerably. The single cilia of a tuft are no longer separated from each other but are congealed and clotted together (Fig. 6). This fusing begins at the basal part of the cilia where they leave the ependymal cell surface. The clumping continues toward the tips of the tuft. Ultimately, cilia are no longer recognizable and instead there is an elongated mass which sinks down onto the ependymal surface. Primarily, cilia are still seen as contours within that mass, but in later stages the clumped tuft of cilia has completely melted with the ependymal cell."	No	NA	3	2	2	NA	2
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	Multiple storage temperatures: 4°C, 22°C, and 36°C followed by stepwise cooling	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining and histochemistry for multiple markers	Multiple or no clear focus	Multiple or no clear focus	6 hours	General cell membrane		"Neuronal vacuolation and vascular retraction were found in nearly all sections, whereas autolytic white matter vacuolation was an exceptional case at that time point but was more frequently observed later on."	No	NA	1	1	1	NA	1
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	Multiple storage temperatures: 4°C, 22°C, and 36°C followed by stepwise cooling	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP	Corpus callosum	Astrocyte	24 hours	General cell membrane		"Glial structures of the corpus callosum were stable during the investigated post-mortem delay."	No	NA	0	0	0	NA	0
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	Multiple storage temperatures: 4°C, 22°C, and 36°C followed by stepwise cooling	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP	Multiple or no clear focus	Astrocyte	8 hours	Blood vessels		Redistribution of GFAP to perictyes in walls of blood vessels and pial surface. "Comparison of GFAP expression in cortical areas of the mouse brains at different post-mortem times as revealed by both light and fluorescence microscopy showed an increase in GFAP-immunoreactivity at 8h post-mortem in both the light and the fluorescence micrographs when compared to the previous time points (Fig. 2). Presence of GFAP in the brains of mice stored for more than 8 h was restricted to the pial surface" ... "GFAP labeling is increased at 8h post-mortem in both the light and fluorescence micrographs." Also Figure 2	No	NA	2	1	1	NA	1
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	Multiple storage temperatures: 4°C, 22°C, and 36°C followed by stepwise cooling	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP	Multiple or no clear focus	Astrocyte	8 hours	General cell membrane		"Comparison of GFAP expression in cortical areas of the mouse brains at different post-mortem times as revealed by both light and fluorescence microscopy showed an increase in GFAP-immunoreactivity at 8h post-mortem in both the light and the fluorescence micrographs when compared to the previous time points" Also Figure 2. 	No	NA	1	1	1	NA	1
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	Multiple storage temperatures: 4°C, 22°C, and 36°C followed by stepwise cooling	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for WFA	Multiple or no clear focus	Multiple or no clear focus	4 hours	Extracellular matrix		Decreased immunolabeling intensity based on Table 1/2. "The extracellular matrix of the glial–neuron interface seems to be stable up to 12 h post-mortem (Fig. 3). The WFA binding to the fine cellular processes which are usually demarcated as sharply delineated structures became more and more obscured and accompanied by an increasing amount of background-like staining. Nevertheless, the specific intracortical distribution pattern including the area-specific patterns of cortical lamination remained preserved during all time points and experimental conditions studied. The results showed that WFA-labeling could be used for the demarcation and identification of functional, anatomical cortical areas following post-mortem delay. Comparing the results revealed after perfusion fixation to those revealed by immersion fixation immediately after death, features differed only in the extent of background staining." Also Figure 3	No	NA	1	0	0	NA	0
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	Multiple storage temperatures: 4°C, 22°C, and 36°C followed by stepwise cooling	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for WFA	Multiple or no clear focus	Multiple or no clear focus	12 hours	Extracellular matrix		Much decreased immunolabeling intensity based on Table 1/2. "The extracellular matrix of the glial–neuron interface seems to be stable up to 12 h post-mortem (Fig. 3). The WFA binding to the fine cellular processes which are usually demarcated as sharply delineated structures became more and more obscured and accompanied by an increasing amount of background-like staining. Nevertheless, the specific intracortical distribution pat- tern including the area-specific patterns of cortical lamination remained preserved during all time points and experimental conditions studied. The results showed that WFA-labeling could be used for the demarcation and identification of functional, anatomical cortical areas following post-mortem delay. Comparing the results revealed after perfusion fixation to those revealed by immersion fixation immediately after death, features differed only in the extent of background staining." Also Figure 3	No	NA	2	1	1	NA	1
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	Multiple storage temperatures: 4°C, 22°C, and 36°C followed by stepwise cooling	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for WFA	Multiple or no clear focus	Multiple or no clear focus	24 hours	Extracellular matrix		Based on Table 1/2, staining seems to be absent at 24 hours. "The extracellular matrix of the glial–neuron interface seems to be stable up to 12 h post-mortem (Fig. 3). The WFA binding to the fine cellular processes which are usually demarcated as sharply delineated structures became more and more obscured and accompanied by an increasing amount of background-like staining. Nevertheless, the specific intracortical distribution pat- tern including the area-specific patterns of cortical lamination remained preserved during all time points and experimental conditions studied. The results showed that WFA-labeling could be used for the demarcation and identification of functional, anatomical cortical areas following post-mortem delay. Comparing the results revealed after perfusion fixation to those revealed by immersion fixation immediately after death, features differed only in the extent of background staining." Also Figure 3	No	NA	3	2	2	NA	2
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	22°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for SMI32	Multiple or no clear focus	Neuron	6 hours	Dendrite		Decreased immunohistochemical signal noted at 6 h in Table 2. "Details of the dendritic tree were visible until a post-mortem delay of 12h"	No	NA	1	1	1	NA	1
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	22°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for SMI32	Multiple or no clear focus	Neuron	12 hours	Dendrite		Absent immunohistochemical signal noted at 12 h in Table 2, also per the text: "Details of the dendritic tree were visible until a post-mortem delay of 12h" ... "With increasing post-mortem delay the presence of detectable SMI 32 in neurons decreased and a granular- like staining of debris or desintegrated dendritic neurofilaments increased, resulting in a picture similar to that found in the focus of ischemic, cortical lesions in experimental animals (Bidmon et al., 1998). The same time course for these post-mortem alterations was found in both groups of mice stored at constant temperatures (4 or 221C)."	No	NA	3	2	2	NA	2
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for synaptophysin	Multiple or no clear focus	Neuron	8 hours	Synapse		"The detection of a clearly localized synaptophysin immunoreactivity was impossible after 4 h post-mortem in the brains stored at 22°C and the brains which were cooled step-by-step, whereas the brains stored at 4°C lost their synaptophysin immunoreactivity after 12h post-mortem." Also Table 1	No	NA	0	0	0	NA	0
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for synaptophysin	Multiple or no clear focus	Neuron	12 hours	Synapse		"The detection of a clearly localized synaptophysin immunoreactivity was impossible after 4 h post-mortem in the brains stored at 22°C and the brains which were cooled step-by-step, whereas the brains stored at 4°C lost their synaptophysin immunoreactivity after 12h post-mortem." Also Table 1	No	NA	1	1	1	NA	1
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for synaptophysin	Multiple or no clear focus	Neuron	24 hours	Synapse		"The detection of a clearly localized synaptophysin immunoreactivity was impossible after 4 h post-mortem in the brains stored at 22°C and the brains which were cooled step-by-step, whereas the brains stored at 4°C lost their synaptophysin immunoreactivity after 12h post-mortem." Also Table 1	No	NA	3	2	2	NA	2
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	22°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for synaptophysin	Multiple or no clear focus	Neuron	4 hours	Synapse		"The detection of a clearly localized synaptophysin immunoreactivity was impossible after 4 h post-mortem in the brains stored at 22°C and the brains which were cooled step-by-step, whereas the brains stored at 4°C lost their synaptophysin immunoreactivity after 12h post-mortem." Also Table 2	No	NA	1	2	2	NA	2
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	22°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for synaptophysin	Multiple or no clear focus	Neuron	6 hours	Synapse		"The detection of a clearly localized synaptophysin immunoreactivity was impossible after 4 h post-mortem in the brains stored at 22°C and the brains which were cooled step-by-step, whereas the brains stored at 4°C lost their synaptophysin immunoreactivity after 12h post-mortem." Also Table 2	No	NA	3	2	2	NA	2
Hilbig 2004	https://pubmed.ncbi.nlm.nih.gov/15625785/	2004	Mouse	22°C	In situ	Immersion fixation	Light microscopy	No	Histochemistry for NAPDH-d	Multiple or no clear focus	Neuron	8 hours	Dendrite		"NADPH-d activity in neurons were only scarcely present following 8h post-mortem delay. Somata of NADPH-d active neurons appeared varicose. Their dendritic processes were fragmented." ... "The fine processes of interneurons expressing the neuronal isoform becomes reduced and the extension of their widespread processes were lost within 8h. "	No	NA	3	3	3	NA	3
Hukkanen 1987	https://pubmed.ncbi.nlm.nih.gov/3803537/	1987	Human	4°C	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	White matter	Oligodendrocyte	6 hours	Myelin	Lower storage temperature	"The myelin changes occuring in the present study were relatively slight during the first 6 hr especially those occurring at +4°C." ... "The staining properties of myelin are decreased and at focal areas the myelin sheaths show marked degeneration (large arrow- heads)"  Also Figure 2. 	No	NA	1	1	1	NA	1
Hukkanen 1987	https://pubmed.ncbi.nlm.nih.gov/3803537/	1987	Human	4°C	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	White matter	Oligodendrocyte	24 hours	Myelin	Lower storage temperature	"Myelin sheaths were only partially degenerated in contrast to the marked degenerative changes in the axoplasm." 	No	NA	1	2	2	NA	2
Hukkanen 1987	https://pubmed.ncbi.nlm.nih.gov/3803537/	1987	Human	25°C	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	White matter	Oligodendrocyte	6 hours	Myelin	Higher storage temperature	"After 6 hr the changes resembled those seen after 24 hr at +4°C." 	No	NA	1	2	2	NA	2
Hukkanen 1987	https://pubmed.ncbi.nlm.nih.gov/3803537/	1987	Human	25°C	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	White matter	Oligodendrocyte	24 hours	Myelin	Higher storage temperature	"Myelin sheaths were disrupted and myelin lamellae formed network-like structures which were most pronounced in the periaxonal region but occasionally occupied the whole myelin sheath." 	No	NA	2	3	3	NA	3
